done,Steps,UUID,Dependent On,Task,Format,Description,Output Artifacts
,Planning,PM1,,Resource Allocation Matrix,csv,,
,,,,,,,
x,Problems,PO1,,Root Cause Analysis (RCA),"text, mermaid",Identifying the disease not the symptom,PO1-Root-Cause-Analysis.md
x,Problems,PO2,PO1,Current State Analysis (As-Is Process Map),mermaid,Mapping the broken workflow,PO2-Current-State-Analysis.md
,Problems,PO3,PO1;PO2,Baseline Metrics,csv,Quantifying the bleed in hard numbers,PO3-Baseline-Metrics.csv
,,,,,,,
x,Stakeholders,ST1,PO1,Power/Interest Matrix,"text, mermaid",Mapping stakeholders by influence vs engagement,ST1-Power-Interest-Matrix.md
x,Stakeholders,ST2,PO1,User Personas,text,Detailed profiles of people interacting with system,ST2-User-Personas.md
x,Stakeholders,ST3,PO1,RBAC Role Map,"text, mermaid",Matrix of roles and specific access permissions,ST3-RBAC-Role-Map.md
,,,,,,,
,Security,SC1,ST1;ST2;ST3,Security Requirements,text,Comprehensive security requirements policies and standards,SC1-Security-Requirements.md
,Security,SC2,ST1;ST2;ST3,Threat Model Diagram,mermaid,Visual representation of threats attack vectors and security boundaries,SC2-Threat-Model.md
,Security,SC3,ST1;ST2;ST3;SC1,Security Controls Matrix,csv,Matrix mapping security requirements to specific controls and mitigations,SC3-Security-Controls-Matrix.csv
,Security,SC7,ST1;ST2;ST3,Compliance Requirements Matrix,csv,Regulatory and compliance requirements (GDPR," HIPAA"
,,,,,,,
,Benefits,BN1,PO1;PO2;PO3;ST1;ST2;ST3;SC1;SC3,KPI Framework,csv,Defining specific measurable metrics for success,BN1-KPI-Framework.csv
,Benefits,BN2,PO1;PO2;PO3;ST1;ST2;ST3;SC1;SC3,To-Be Value Stream Map,mermaid,Visual diagram showing optimized end-to-end process flow from customer request to value delivery identifying waste elimination and efficiency gains,BN2-To-Be-Value-Stream-Map.md
,Benefits,BN3,PO1;PO2;PO3;ST1;ST2;ST3;SC1;SC3,Success Criteria (ROI),text,Specific measurable thresholds (e.g. 20% cost reduction," 50% faster processing"
,,,,,,,
,Behavior,BH1,BN1;BN2;BN3;SC1;SC2;SC3,Use Case Diagrams,mermaid,UML-style diagrams showing actors and use cases,BH1-Use-Case-Diagram.md
,Behavior,BH2,BH1;SC1;SC3,BPMN Flowcharts,mermaid,Mapping deterministic step-by-step process logic,BH2-BPMN-Flowcharts.md
,Behavior,BH3,BH1;SC1;SC3,Decision Tables,csv,Matrix mapping complex business rules to outcomes,BH3-Decision-Tables.csv
,Behavior,BH4,BH1;SC1;SC3,Exception Logic,mermaid,Defining negative paths when things go wrong,BH4-Exception-Logic.md
,,,,,,,
,Security,SC4,BH1;BH2;BH3;SC2,Threat Register,csv,Detailed threat register based on use cases and threat model,SC4-Threat-Register.csv
,,,,,,,
,Data Model,DM1,BH1;BH2;BH3;BH4;SC1;SC3,Data Dictionary,csv,Granular list of every data field type and constraints,DM1-Data-Dictionary.csv
,Data Model,DM2,DM1,Entity Relationship Diagram (ERD),mermaid,Visual map of how data tables connect,DM2-ERD.md
,Data Model,DM3,DM1;DM2;SC1;SC3,NFR Specs,text,Performance and safety standards of system,DM3-NFR-Specs.md
,,,,,,,
,Security,SC5,DM1;DM2;DM3;SC1;SC2;SC3,Security Architecture Document,text,Security architecture review covering data security access patterns and encryption requirements,SC5-Security-Architecture.md
,,,,,,,
,QA,QA1,BH1;BH2;BH3;BH4;DM1;DM2;DM3;SC5,Testability Assessment,text,Validating that design is testable identifying test data requirements and test scenarios,QA1-Testability-Assessment.md
,,,,,,,
,Design,DE1,BH1;BH2;DM1;DM2;QA1;SC1;SC3,User Task Flows,mermaid,Mapping step-by-step click path user takes to complete goal,DE1-User-Task-Flows.md
,Design,DE1b,DE1,Design System/Style Guide,text,REQUIRED - Bare minimum: Colors," typography"
,Design,DE2,DE1;DE1b,Low-Fidelity Wireframes,text,REQUIRED - Bare minimum: Text description of low-fidelity structural layouts with references to visual wireframe files (Figma/Sketch). Defines layout," structure"
,Design,DE2b,DE2,Mid-Fidelity Prototypes,text,OPTIONAL - Context-dependent: Interactive clickdummies/mockups for testing user flows. Use when: complex interactions," need to validate flows before build"
,Design,DE2c,DE2,High-Fidelity Designs,text,OPTIONAL - Context-dependent: Pixel-perfect designs with exact specifications (colors," fonts"
,Design,DE3,DE1;DE2;SC1;SC3,Edge Case UI,text,Text description of unhappy or empty moments in interface with references to visual designs,DE3-Edge-Case-UI.md
,,,,,,,
,Architecture,AR1,BN1;BN2;BN3;BH1;BH2;DM1;DM2;DE1;SC5;QA1,System Architecture Document,text,Comprehensive system architecture document defining how the system will be built,AR1-System-Architecture.md
,Architecture,AR2,AR1,System Architecture Diagram,mermaid,Visual diagram of system architecture components and relationships,AR2-System-Architecture-Diagram.md
,Architecture,AR3,AR1,Technology Stack Matrix,csv,Matrix of technologies frameworks and tools selected for implementation,AR3-Technology-Stack-Matrix.csv
,Architecture,AR4,AR1;AR2;AR3,Implementation Guidelines,text,Guidelines for implementing the system architecture,AR4-Implementation-Guidelines.md
,Architecture,AR5,AR1;AR2,API Specification,yaml,API design specification in OpenAPI/Swagger format,AR5-API-Specification.yaml
,Architecture,AR6,DM1;DM2,Database Schema,sql,Database schema definition (optional if needed),AR6-Database-Schema.sql
,Architecture,AR7,DM1;DM2;AR6,Database Design Document,text,Database design document with schema rationale and optimization,AR7-Database-Design.md
